Entries= 26606, Total sum= 11480
 fSumw[445]=8, x=35560
 fSumw[446]=8, x=35640
 fSumw[447]=8, x=35720
 fSumw[448]=6, x=35800
 fSumw[449]=13, x=35880
 fSumw[450]=16, x=35960
 fSumw[451]=11, x=36040
 fSumw[452]=8, x=36120
 fSumw[453]=7, x=36200
 fSumw[454]=8, x=36280
 fSumw[455]=7, x=36360
 fSumw[456]=7, x=36440
 fSumw[457]=6, x=36520
 fSumw[458]=4, x=36600
 fSumw[459]=11, x=36680
 fSumw[460]=10, x=36760
 fSumw[461]=6, x=36840
 fSumw[462]=8, x=36920
 fSumw[463]=9, x=37000
 fSumw[464]=6, x=37080
 fSumw[465]=13, x=37160
 fSumw[466]=6, x=37240
 fSumw[467]=9, x=37320
 fSumw[468]=6, x=37400
 fSumw[469]=14, x=37480
 fSumw[470]=13, x=37560
 fSumw[471]=5, x=37640
 fSumw[472]=6, x=37720
 fSumw[473]=10, x=37800
 fSumw[474]=8, x=37880
 fSumw[475]=10, x=37960
 fSumw[476]=2, x=38040
 fSumw[477]=9, x=38120
 fSumw[478]=6, x=38200
 fSumw[479]=11, x=38280
 fSumw[480]=9, x=38360
 fSumw[481]=11, x=38440
 fSumw[482]=6, x=38520
 fSumw[483]=6, x=38600
 fSumw[484]=11, x=38680
 fSumw[485]=6, x=38760
 fSumw[486]=9, x=38840
 fSumw[487]=9, x=38920
 fSumw[488]=5, x=39000
 fSumw[489]=5, x=39080
 fSumw[490]=5, x=39160
 fSumw[491]=5, x=39240
 fSumw[492]=4, x=39320
 fSumw[493]=6, x=39400
 fSumw[494]=11, x=39480
 fSumw[495]=10, x=39560
 fSumw[496]=9, x=39640
 fSumw[497]=7, x=39720
 fSumw[498]=8, x=39800
 fSumw[499]=10, x=39880
 fSumw[500]=11, x=39960
 fSumw[501]=15126, x=40040
