Entries= 50527, Total sum= 24000,,,,,,,,,,,
 fSumw[174]=17, x=13880,4]=17,=17,17,,,,,,,175,17
 fSumw[175]=34, x=13960,5]=34,=34,34,,,,,,,176,34
 fSumw[176]=28, x=14040,6]=28,=28,28,,,,,,,177,28
 fSumw[177]=30, x=14120,7]=30,=30,30,,,,,,,178,30
 fSumw[178]=27, x=14200,8]=27,=27,27,,,,,,,179,27
 fSumw[179]=34, x=14280,9]=34,=34,34,,,,,,,180,34
 fSumw[180]=20, x=14360,0]=20,=20,20,,,,,,,181,20
 fSumw[181]=27, x=14440,1]=27,=27,27,,,,,,,182,27
 fSumw[182]=29, x=14520,2]=29,=29,29,,,,,,,183,29
 fSumw[183]=41, x=14600,3]=41,=41,41,,,,,,,184,41
 fSumw[184]=28, x=14680,4]=28,=28,28,,,,,,,185,28
 fSumw[185]=24, x=14760,5]=24,=24,24,,,,,,,186,24
 fSumw[186]=34, x=14840,6]=34,=34,34,,,,,,,187,34
 fSumw[187]=21, x=14920,7]=21,=21,21,,,,,,,188,21
 fSumw[188]=31, x=15000,8]=31,=31,31,,,,,,,189,31
 fSumw[189]=17, x=15080,9]=17,=17,17,,,,,,,190,17
 fSumw[190]=26, x=15160,0]=26,=26,26,,,,,,,191,26
 fSumw[191]=30, x=15240,1]=30,=30,30,,,,,,,192,30
 fSumw[192]=22, x=15320,2]=22,=22,22,,,,,,,193,22
 fSumw[193]=24, x=15400,3]=24,=24,24,,,,,,,194,24
 fSumw[194]=21, x=15480,4]=21,=21,21,,,,,,,195,21
 fSumw[195]=32, x=15560,5]=32,=32,32,,,,,,,196,32
 fSumw[196]=25, x=15640,6]=25,=25,25,,,,,,,197,25
 fSumw[197]=23, x=15720,7]=23,=23,23,,,,,,,198,23
 fSumw[198]=36, x=15800,8]=36,=36,36,,,,,,,199,36
 fSumw[199]=32, x=15880,9]=32,=32,32,,,,,,,200,32
 fSumw[200]=20, x=15960,0]=20,=20,20,,,,,,,201,20
 fSumw[201]=25, x=16040,1]=25,=25,25,,,,,,,202,25
 fSumw[202]=30, x=16120,2]=30,=30,30,,,,,,,203,30
 fSumw[203]=24, x=16200,3]=24,=24,24,,,,,,,204,24
 fSumw[204]=28, x=16280,4]=28,=28,28,,,,,,,205,28
 fSumw[205]=20, x=16360,5]=20,=20,20,,,,,,,206,20
