Entries= 35203, Total sum= 15523,,,,,,,,,,,,
 fSumw[152]=21, x=12120,2]=21,=21,21,,,,,,,,153,21
 fSumw[153]=21, x=12200,3]=21,=21,21,,,,,,,,154,21
 fSumw[154]=20, x=12280,4]=20,=20,20,,,,,,,,155,20
 fSumw[155]=17, x=12360,5]=17,=17,17,,,,,,,,156,17
 fSumw[156]=22, x=12440,6]=22,=22,22,,,,,,,,157,22
 fSumw[157]=20, x=12520,7]=20,=20,20,,,,,,,,158,20
 fSumw[158]=25, x=12600,8]=25,=25,25,,,,,,,,159,25
 fSumw[159]=22, x=12680,9]=22,=22,22,,,,,,,,160,22
 fSumw[160]=18, x=12760,0]=18,=18,18,,,,,,,,161,18
 fSumw[161]=25, x=12840,1]=25,=25,25,,,,,,,,162,25
 fSumw[162]=17, x=12920,2]=17,=17,17,,,,,,,,163,17
 fSumw[163]=22, x=13000,3]=22,=22,22,,,,,,,,164,22
 fSumw[164]=23, x=13080,4]=23,=23,23,,,,,,,,165,23
 fSumw[165]=31, x=13160,5]=31,=31,31,,,,,,,,166,31
 fSumw[166]=28, x=13240,6]=28,=28,28,,,,,,,,167,28
 fSumw[167]=22, x=13320,7]=22,=22,22,,,,,,,,168,22
 fSumw[168]=18, x=13400,8]=18,=18,18,,,,,,,,169,18
 fSumw[169]=22, x=13480,9]=22,=22,22,,,,,,,,170,22
 fSumw[170]=26, x=13560,0]=26,=26,26,,,,,,,,171,26
 fSumw[171]=19, x=13640,1]=19,=19,19,,,,,,,,172,19
 fSumw[172]=16, x=13720,2]=16,=16,16,,,,,,,,173,16
 fSumw[173]=21, x=13800,3]=21,=21,21,,,,,,,,174,21
 fSumw[174]=26, x=13880,4]=26,=26,26,,,,,,,,175,26
 fSumw[175]=31, x=13960,5]=31,=31,31,,,,,,,,176,31
 fSumw[176]=25, x=14040,6]=25,=25,25,,,,,,,,177,25
 fSumw[177]=20, x=14120,7]=20,=20,20,,,,,,,,178,20
 fSumw[178]=19, x=14200,8]=19,=19,19,,,,,,,,179,19
 fSumw[179]=24, x=14280,9]=24,=24,24,,,,,,,,180,24
 fSumw[180]=16, x=14360,0]=16,=16,16,,,,,,,,181,16
 fSumw[181]=22, x=14440,1]=22,=22,22,,,,,,,,182,22
 fSumw[182]=9, x=14520,2]=9,=9,9,,,,,,,,183,9
 fSumw[183]=13, x=14600,3]=13,=13,13,,,,,,,,184,13
 fSumw[184]=20, x=14680,4]=20,=20,20,,,,,,,,185,20
 fSumw[185]=14, x=14760,5]=14,=14,14,,,,,,,,186,14
 fSumw[186]=17, x=14840,6]=17,=17,17,,,,,,,,187,17
 fSumw[187]=16, x=14920,7]=16,=16,16,,,,,,,,188,16
 fSumw[188]=22, x=15000,8]=22,=22,22,,,,,,,,189,22
 fSumw[189]=23, x=15080,9]=23,=23,23,,,,,,,,190,23
 fSumw[190]=16, x=15160,0]=16,=16,16,,,,,,,,191,16
 fSumw[191]=16, x=15240,1]=16,=16,16,,,,,,,,192,16
 fSumw[192]=15, x=15320,2]=15,=15,15,,,,,,,,193,15
 fSumw[193]=25, x=15400,3]=25,=25,25,,,,,,,,194,25
 fSumw[194]=16, x=15480,4]=16,=16,16,,,,,,,,195,16
 fSumw[195]=19, x=15560,5]=19,=19,19,,,,,,,,196,19
 fSumw[196]=17, x=15640,6]=17,=17,17,,,,,,,,197,17
 fSumw[197]=17, x=15720,7]=17,=17,17,,,,,,,,198,17
 fSumw[198]=20, x=15800,8]=20,=20,20,,,,,,,,199,20
 fSumw[199]=18, x=15880,9]=18,=18,18,,,,,,,,200,18
 fSumw[200]=33, x=15960,0]=33,=33,33,,,,,,,,201,33
 fSumw[201]=28, x=16040,1]=28,=28,28,,,,,,,,202,28
 fSumw[202]=20, x=16120,2]=20,=20,20,,,,,,,,203,20
 fSumw[203]=19, x=16200,3]=19,=19,19,,,,,,,,204,19
 fSumw[204]=12, x=16280,4]=12,=12,12,,,,,,,,205,12
 fSumw[205]=17, x=16360,5]=17,=17,17,,,,,,,,206,17
 fSumw[206]=15, x=16440,6]=15,=15,15,,,,,,,,207,15
 fSumw[207]=18, x=16520,7]=18,=18,18,,,,,,,,208,18
 fSumw[208]=19, x=16600,8]=19,=19,19,,,,,,,,209,19
 fSumw[209]=12, x=16680,9]=12,=12,12,,,,,,,,210,12
 fSumw[210]=15, x=16760,0]=15,=15,15,,,,,,,,211,15
 fSumw[211]=22, x=16840,1]=22,=22,22,,,,,,,,212,22
 fSumw[212]=25, x=16920,2]=25,=25,25,,,,,,,,213,25
 fSumw[213]=22, x=17000,3]=22,=22,22,,,,,,,,214,22
 fSumw[214]=25, x=17080,4]=25,=25,25,,,,,,,,215,25
 fSumw[215]=19, x=17160,5]=19,=19,19,,,,,,,,216,19
 fSumw[216]=18, x=17240,6]=18,=18,18,,,,,,,,217,18
 fSumw[217]=17, x=17320,7]=17,=17,17,,,,,,,,218,17
 fSumw[218]=15, x=17400,8]=15,=15,15,,,,,,,,219,15
 fSumw[219]=15, x=17480,9]=15,=15,15,,,,,,,,220,15
 fSumw[220]=16, x=17560,0]=16,=16,16,,,,,,,,221,16
 fSumw[221]=19, x=17640,1]=19,=19,19,,,,,,,,222,19
 fSumw[222]=18, x=17720,2]=18,=18,18,,,,,,,,223,18
 fSumw[223]=22, x=17800,3]=22,=22,22,,,,,,,,224,22
 fSumw[224]=13, x=17880,4]=13,=13,13,,,,,,,,225,13
 fSumw[225]=16, x=17960,5]=16,=16,16,,,,,,,,226,16
 fSumw[226]=11, x=18040,6]=11,=11,11,,,,,,,,227,11
 fSumw[227]=19, x=18120,7]=19,=19,19,,,,,,,,228,19
 fSumw[228]=20, x=18200,8]=20,=20,20,,,,,,,,229,20
 fSumw[229]=18, x=18280,9]=18,=18,18,,,,,,,,230,18
 fSumw[230]=11, x=18360,0]=11,=11,11,,,,,,,,231,11
 fSumw[231]=10, x=18440,1]=10,=10,10,,,,,,,,232,10
 fSumw[232]=28, x=18520,2]=28,=28,28,,,,,,,,233,28
 fSumw[233]=16, x=18600,3]=16,=16,16,,,,,,,,234,16
 fSumw[234]=23, x=18680,4]=23,=23,23,,,,,,,,235,23
 fSumw[235]=16, x=18760,5]=16,=16,16,,,,,,,,236,16
 fSumw[236]=19, x=18840,6]=19,=19,19,,,,,,,,237,19
 fSumw[237]=13, x=18920,7]=13,=13,13,,,,,,,,238,13
 fSumw[238]=18, x=19000,8]=18,=18,18,,,,,,,,239,18
 fSumw[239]=17, x=19080,9]=17,=17,17,,,,,,,,240,17
 fSumw[240]=24, x=19160,0]=24,=24,24,,,,,,,,241,24
 fSumw[241]=16, x=19240,1]=16,=16,16,,,,,,,,242,16
 fSumw[242]=23, x=19320,2]=23,=23,23,,,,,,,,243,23
 fSumw[243]=16, x=19400,3]=16,=16,16,,,,,,,,244,16
 fSumw[244]=13, x=19480,4]=13,=13,13,,,,,,,,245,13
 fSumw[245]=11, x=19560,5]=11,=11,11,,,,,,,,246,11
 fSumw[246]=19, x=19640,6]=19,=19,19,,,,,,,,247,19
 fSumw[247]=18, x=19720,7]=18,=18,18,,,,,,,,248,18
 fSumw[248]=10, x=19800,8]=10,=10,10,,,,,,,,249,10
 fSumw[249]=10, x=19880,9]=10,=10,10,,,,,,,,250,10
 fSumw[250]=16, x=19960,0]=16,=16,16,,,,,,,,251,16
 fSumw[251]=14, x=20040,1]=14,=14,14,,,,,,,,252,14
 fSumw[252]=17, x=20120,2]=17,=17,17,,,,,,,,253,17
 fSumw[253]=21, x=20200,3]=21,=21,21,,,,,,,,254,21
 fSumw[254]=16, x=20280,4]=16,=16,16,,,,,,,,255,16
 fSumw[255]=14, x=20360,5]=14,=14,14,,,,,,,,256,14
 fSumw[256]=16, x=20440,6]=16,=16,16,,,,,,,,257,16
 fSumw[257]=14, x=20520,7]=14,=14,14,,,,,,,,258,14
 fSumw[258]=18, x=20600,8]=18,=18,18,,,,,,,,259,18
 fSumw[259]=13, x=20680,9]=13,=13,13,,,,,,,,260,13
 fSumw[260]=16, x=20760,0]=16,=16,16,,,,,,,,261,16
 fSumw[261]=20, x=20840,1]=20,=20,20,,,,,,,,262,20
 fSumw[262]=17, x=20920,2]=17,=17,17,,,,,,,,263,17
 fSumw[263]=13, x=21000,3]=13,=13,13,,,,,,,,264,13
 fSumw[264]=11, x=21080,4]=11,=11,11,,,,,,,,265,11
 fSumw[265]=15, x=21160,5]=15,=15,15,,,,,,,,266,15
 fSumw[266]=21, x=21240,6]=21,=21,21,,,,,,,,267,21
 fSumw[267]=19, x=21320,7]=19,=19,19,,,,,,,,268,19
 fSumw[268]=10, x=21400,8]=10,=10,10,,,,,,,,269,10
 fSumw[269]=15, x=21480,9]=15,=15,15,,,,,,,,270,15
 fSumw[270]=19, x=21560,0]=19,=19,19,,,,,,,,271,19
 fSumw[271]=21, x=21640,1]=21,=21,21,,,,,,,,272,21
 fSumw[272]=15, x=21720,2]=15,=15,15,,,,,,,,273,15
 fSumw[273]=11, x=21800,3]=11,=11,11,,,,,,,,274,11
 fSumw[274]=14, x=21880,4]=14,=14,14,,,,,,,,275,14
 fSumw[275]=11, x=21960,5]=11,=11,11,,,,,,,,276,11
 fSumw[276]=17, x=22040,6]=17,=17,17,,,,,,,,277,17
 fSumw[277]=19, x=22120,7]=19,=19,19,,,,,,,,278,19
 fSumw[278]=13, x=22200,8]=13,=13,13,,,,,,,,279,13
 fSumw[279]=15, x=22280,9]=15,=15,15,,,,,,,,280,15
 fSumw[280]=22, x=22360,0]=22,=22,22,,,,,,,,281,22
 fSumw[281]=23, x=22440,1]=23,=23,23,,,,,,,,282,23
 fSumw[282]=16, x=22520,2]=16,=16,16,,,,,,,,283,16
