Entries= 19964, Total sum= 8131
 fSumw[405]=8, x=32360
 fSumw[406]=6, x=32440
 fSumw[407]=10, x=32520
 fSumw[408]=9, x=32600
 fSumw[409]=14, x=32680
 fSumw[410]=10, x=32760
 fSumw[411]=10, x=32840
 fSumw[412]=10, x=32920
 fSumw[413]=7, x=33000
 fSumw[414]=3, x=33080
 fSumw[415]=10, x=33160
 fSumw[416]=14, x=33240
 fSumw[417]=6, x=33320
 fSumw[418]=8, x=33400
 fSumw[419]=11, x=33480
 fSumw[420]=12, x=33560
 fSumw[421]=9, x=33640
 fSumw[422]=6, x=33720
 fSumw[423]=6, x=33800
 fSumw[424]=7, x=33880
 fSumw[425]=5, x=33960
 fSumw[426]=7, x=34040
 fSumw[427]=5, x=34120
 fSumw[428]=5, x=34200
 fSumw[429]=7, x=34280
 fSumw[430]=8, x=34360
 fSumw[431]=3, x=34440
 fSumw[432]=4, x=34520
 fSumw[433]=9, x=34600
 fSumw[434]=6, x=34680
 fSumw[435]=7, x=34760
 fSumw[436]=9, x=34840
 fSumw[437]=6, x=34920
 fSumw[438]=2, x=35000
 fSumw[439]=10, x=35080
 fSumw[440]=8, x=35160
 fSumw[441]=11, x=35240
 fSumw[442]=9, x=35320
 fSumw[443]=6, x=35400
 fSumw[444]=7, x=35480
 fSumw[445]=11, x=35560
 fSumw[446]=7, x=35640
 fSumw[447]=9, x=35720
 fSumw[448]=8, x=35800
 fSumw[449]=11, x=35880
 fSumw[450]=9, x=35960
 fSumw[451]=6, x=36040
 fSumw[452]=6, x=36120
 fSumw[453]=1, x=36200
 fSumw[454]=10, x=36280
 fSumw[455]=12, x=36360
 fSumw[456]=12, x=36440
 fSumw[457]=6, x=36520
 fSumw[458]=8, x=36600
 fSumw[459]=12, x=36680
 fSumw[460]=4, x=36760
 fSumw[461]=7, x=36840
 fSumw[462]=7, x=36920
 fSumw[463]=2, x=37000
 fSumw[464]=6, x=37080
 fSumw[465]=9, x=37160
 fSumw[466]=6, x=37240
 fSumw[467]=5, x=37320
 fSumw[468]=8, x=37400
 fSumw[469]=5, x=37480
 fSumw[470]=8, x=37560
 fSumw[471]=7, x=37640
 fSumw[472]=8, x=37720
 fSumw[473]=8, x=37800
 fSumw[474]=9, x=37880
 fSumw[475]=5, x=37960
 fSumw[476]=11, x=38040
 fSumw[477]=8, x=38120
 fSumw[478]=14, x=38200
 fSumw[479]=7, x=38280
 fSumw[480]=7, x=38360
 fSumw[481]=8, x=38440
 fSumw[482]=3, x=38520
 fSumw[483]=5, x=38600
 fSumw[484]=6, x=38680
 fSumw[485]=4, x=38760
 fSumw[486]=7, x=38840
 fSumw[487]=6, x=38920
 fSumw[488]=9, x=39000
 fSumw[489]=7, x=39080
 fSumw[490]=9, x=39160
 fSumw[491]=2, x=39240
 fSumw[492]=9, x=39320
 fSumw[493]=10, x=39400
 fSumw[494]=5, x=39480
 fSumw[495]=8, x=39560
 fSumw[496]=8, x=39640
 fSumw[497]=4, x=39720
 fSumw[498]=8, x=39800
 fSumw[499]=3, x=39880
 fSumw[500]=9, x=39960
 fSumw[501]=11833, x=40040
